"","date","polarity","state","text","Weeks"
"1",2018-12-06,0.5875,"CA","@garrettlomanto Erika McNutt! Lol I’m so excited","pre-show"
"2",2018-12-08,0,"TX","Don’t forget to watch the 3 HOUR premiere of #thebachelor on January 7th, 2019 !!!🙌🏼💗🌹 @coltonunderwood… https://t.co/SILkMWvNZA","pre-show"
"3",2018-12-08,0,"HI","https://t.co/S4oWTeAfVB - ( Blog This Link ) | Tracy Shapoff: #TheBachelor Contestant Caught Using Slurs, Fat-Shami… https://t.co/xDgqhcFEIi","pre-show"
"4",2018-12-09,0.15,"CA","Had a fun time last night thebachelorpartymovie #moviepremiere w @greenvenus10 &amp; @shawnvalentino!  VLOG coming next… https://t.co/XfKCFICTf5","pre-show"
"5",2018-12-11,0.6,"MI","#Thanks to Heather Martin for giving an #excellent #guest #lecture about her non-profit @youth.arts.alliance that d… https://t.co/HMYwOYeRmE","pre-show"
"6",2018-12-13,0,"NY","Dreaming of your big break on #realitytv ?Maybe on  #thebachelor #thebachelorette #bachelorinparadise ? 
.
.… https://t.co/7qwj3nmbAy","pre-show"
"7",2018-12-14,0,"MI","Will @abexlumberg (Alex Blumberg, CEO of Gimlet Media) add me on Fitbit?","pre-show"
"8",2018-12-15,0,"OH","@han7286 @hannahbrown7843 @TheGrinch2000 https://t.co/px9tjNCopW","pre-show"
"9",2018-12-15,0,"TN","The only episode of #thebachelor that I’ve ever seen. @ Nashville, Tennessee https://t.co/0Ag6mGILZe","pre-show"
"10",2018-12-19,0,"FL","Brought in some extra reinforcement to meet my end of the year deadlines🤣🤣🤣hankthebachelor @identitymediapr… https://t.co/WgnGxlrjoP","pre-show"
"11",2018-12-26,0.3125,"MI","Cleaning up after the Holidays is so much work! Thank God for Robot Vacuums! 🤓🤯🤣🎅🏻☃️🎄🎁👽🤖  #thebachelor #bachelor… https://t.co/WhVSEyErVW","pre-show"
"12",2018-12-31,0,"NV","Well here is my #top9of2018 consisting of @bachelorabc and @bacheloretteabc cast members thejakepavelka1 @benhiggi… https://t.co/DUJ9VrYb6t","pre-show"
"13",2019-01-01,0.395454545454545,"FL","Began the beautiful morning and New Year 🌷☀️ gentle sunrise yoga led by Erin Landry 🧘🏻‍♀️embassysuitesstaugustinebe… https://t.co/IdNxWqi83L","pre-show"
"14",2019-01-01,0,"MN","plus, #thebachelor starts next week so I’ve got that goin for me.","pre-show"
"15",2019-01-03,0.375,"FL","I am so beyond excited for Colton’s season of #thebachelor","pre-show"
"16",2019-01-05,0.75,"CA","This is going to be an amazing episode!

#datingadvice #datingtips #podcast #bachelor #thebachelor #abc #NickViall… https://t.co/EZZL1S6FLX","pre-show"
"17",2019-01-05,0,"MN","Any takers to go with me to see @thebkoof at Ridgedale next Saturday from 11-2? #thebachelor","pre-show"
"18",2019-01-05,-0.05,"CA","@alyssakara Heather Martin! She’s like the skinniest thing on the planet with insanely long blond hair.","pre-show"
"19",2019-01-06,0.118181818181818,"GA","Made a new blog post of my shoot with Hannah Godwin. I also talk about how I developed my photographic style.… https://t.co/Iikxb5rLFG","pre-show"
"20",2019-01-07,0.55,"WY","My pick to win Colton’s heart on the Bachelor is @alexdillon60. As she seems to be the most sincere and genuine.","week 1"
"21",2019-01-07,0,"VA","my dad told us we can’t go into his office because he has a surprise for us for bachelor night............ #thebachelor","week 1"
